Madera,
Monterey Park,
La Habra,
Santa Cruz,https://vw8.cityofsantacruz.com/server/rest/services
Encinitas,https://coemapservices.encinitasca.gov/hypegis/rest/services
Tulare,
Gardena,
National City,
Cupertino,https://gis.cupertino.org/cupgis/rest/services
Huntington Park,
Petaluma,https://xara1-4.cityofpetaluma.net/arcgis/rest/services
San Rafael,
La Mesa,
Rocklin,https://gis.rocklin.ca.us/server/rest/services
Arcadia,
Diamond Bar,https://services1.arcgis.com/yvWpR6DCcpIEETDL/ArcGIS/rest/services
Woodland,https://gis.cityofwoodland.org/cowgis/rest/services
Fountain Valley,
Porterville,https://services6.arcgis.com/KUb9MOaWQkVh1cNC/ArcGIS/rest/services
Paramount,
Hanford,
Rosemead,
Eastvale,https://services8.arcgis.com/0IhsDShsWMvHpVHf/ArcGIS/rest/services
Santee,
Highland,
Delano,
Colton,
Novato,
Lake Elsinore,
Brentwood,
Yucaipa,https://services5.arcgis.com/86gdKBxZf7GIt2Or/ArcGIS/rest/services
Cathedral City,
Watsonville,https://services.arcgis.com/BwTLVIYpus4pYH0S/ArcGIS/rest/services
Placentia,https://services1.arcgis.com/3CyDafKD7aN8Dr8M/ArcGIS/rest/services
Glendora,
Cerritos,
Gilroy,
West Sacramento,https://gis.cityofwestsacramento.org/server/rest/services
La Mirada,
Palm Desert,https://services2.arcgis.com/i4mrGZu1Isvl0rWt/ArcGIS/rest/services
Rancho Santa Margarita,
Aliso Viejo,https://services9.arcgis.com/BMNzM85wEtX7LHzh/ArcGIS/rest/services
Poway,https://powaygis.poway.org/powaygis/rest/services
Cypress,
Covina,https://services2.arcgis.com/nzGFbmT76gMzTNvU/ArcGIS/rest/services
Azusa,
Dublin,https://gis.dublin.ca.gov/arcgis/rest/services
Ceres,
San Luis Obispo,https://services.arcgis.com/yygmGNIVQrHqSELP/ArcGIS/rest/services
Palm Springs,https://gisnexus.palmspringsca.gov/server/rest/services
San Jacinto,
Lincoln,
El Centro,
Newark,
Lompoc,
Bell Gardens,
Danville,
Rancho Palos Verdes,
San Bruno,
Rohnert Park,
Coachella,
La Puente,
San Gabriel,
Campbell,
Brea,http://gisweb.cityofbrea.net/arcgis/rest/services
Culver City,https://services2.arcgis.com/LNAhiRpezPbHTIUO/ArcGIS/rest/services
Calexico,
Stanton,
Morgan Hill,
La Quinta,
Pacifica,
Beaumont,https://gisservices.interwestgrp.com/externalarcgis/rest/services
Montclair,
Monrovia,
Los Banos,
Martinez,
Temple City,
Bell,
Oakley,
Manhattan Beach,https://permitmaps.citymb.info/arcgis/rest/services
Hollister,
Claremont,
San Juan Capistrano,
Moorpark,
West Hollywood,
Beverly Hills,
San Dimas,
Dana Point,
Pleasant Hill,https://services8.arcgis.com/t51jA1LODTaNPkx4/ArcGIS/rest/services
Seaside,https://services1.arcgis.com/EA1EEGoVxfa0dZ0y/ArcGIS/rest/services
Lawndale,
Wildomar,
Menlo Park,https://services7.arcgis.com/uRrQ0O3z2aaiIWYU/ArcGIS/rest/services
Adelanto,https://services.arcgis.com/OfAHRiWmqictxCRg/ArcGIS/rest/services
La Verne,
Foster City,
Laguna Hills,
Saratoga,
Goleta,
Paso Robles,
Banning,
Los Gatos,
Santa Paula,
Walnut,
San Pablo,
Los Altos,
Burlingame,
San Carlos,
Atascadero,https://services2.arcgis.com/N2rywTnpbBhelXvy/ArcGIS/rest/services
Atwater,
East Palo Alto,
Suisun City,
Monterey,
Ridgecrest,
Maywood,
Eureka,
Norco,
Benicia,
Windsor,
Imperial Beach,
Paradise,
Desert Hot Springs,
Belmont,https://maps.belmont.gov/arcgis/rest/services
Soledad,
South Pasadena,
Wasco,
Lemon Grove,
Twentynine Palms,
Brawley,
Corcoran,
Coronado,
Lemoore,
Sanger,
Reedley,
Seal Beach,
Hercules,
Lafayette,
Cudahy,
Galt,
San Fernando,
El Cerrito,
Loma Linda,
Selma,
Calabasas,
Laguna Beach,
Riverbank,
Barstow,
Port Hueneme,
Millbrae,
Dinuba,https://services6.arcgis.com/AEktkJZn4D4r3skv/arcgis/rest/services
South Lake Tahoe,
Duarte,
Blythe,
Yucca Valley,
Oakdale,https://services3.arcgis.com/OsRVJYCQQeln9HQP/ArcGIS/rest/services
Patterson,
Agoura Hills,
Lomita,
La Cañada Flintridge,
South El Monte,
Marina,
Hermosa Beach,
American Canyon,
Arvin,
Chowchilla,
Albany,
Pinole,
Dixon,
Lathrop,
Susanville,
Orinda,
Arroyo Grande,
Arcata,
Rancho Mirage,
Shafter,https://services2.arcgis.com/LukbLC9Gps89zZa7/arcgis/rest/services
El Segundo,
Artesia,
Greenfield,
Santa Fe Springs,
Laguna Woods,
Truckee,
Ukiah,
Moraga,
La Palma,
Oroville,https://gicwebsrv.csuchico.edu/gicarcsrv01/rest/services/City_of_Oroville
Avenal,
Clearlake,https://services5.arcgis.com/rMwJb9lQnwJCsC23/arcgis/rest/services
Pacific Grove,
Fillmore,
Imperial,
Parlier,
Tehachapi,
Ripon,
Hawaiian Gardens,
California City,
Red Bluff,
Mill Valley,
Kerman,
Palos Verdes Estates,
Coalinga,
Auburn,
Grover Beach,
San Marino,
Livingston,
Carpinteria,
King City,
Solana Beach,
Grass Valley,
Commerce,
McFarland,
Malibu,
San Anselmo,
Marysville,
Grand Terrace,
Fortuna,
Larkspur,
Lindsay,
Scotts Valley,
Los Alamitos,
Kingsburg,
Half Moon Bay,
Healdsburg,
Signal Hill,
Mendota,
Sierra Madre,
Clayton,
Hillsborough,
Piedmont,
Sonoma,
Farmersville,
Canyon Lake,
Placerville,
Exeter,
Morro Bay,
Newman,
Shasta Lake,
Emeryville,
Anderson,
Capitola,
Taft,
Corte Madera,
Orange Cove,
Tiburon,
Cloverdale,
Waterford,
Live Oak,
Westlake Village,
Mammoth Lakes,
Gonzales,
Rolling Hills Estates,
Los Altos Hills,
Ione,
Calimesa,
Yreka,
Calipatria,
Corning,
Pismo Beach,
Crescent City,
Firebaugh,
Ojai,
Fairfax,
Sebastopol,
Rio Vista,
Orland,
Woodlake,
Fort Bragg,
Cotati,
Escalon,
Guadalupe,
Sausalito,
Atherton,
Huron,
Hughson,
Winters,
Gridley,
Loomis,
Willows,
Colusa,
Holtville,
St. Helena,
Villa Park,
Fowler,
Gustine,
La Habra Heights,
Woodside,
Solvang,
Calistoga,
Williams,
Big Bear Lake,
Indian Wells,
Dos Palos,
Sonora,
Willits,
Needles,
Buellton,
Lakeport,
Jackson,
Portola Valley,
Brisbane,
Del Mar,
San Joaquin,
Bishop,
Angels Camp,
Avalon,
Carmel-by-the-Sea,
Wheatland,
Mount Shasta,
Rio Dell,
Monte Sereno,
Nevada City,
Weed,
Yountville,
Alturas,
Sutter Creek,
Ross,
Westmorland,
Portola,
Belvedere,
Colfax,
San Juan Bautista,
Rolling Hills,
Hidden Hills,
Colma,
Biggs,
Dunsmuir,
Del Rey Oaks,
Montague,
Irwindale,
Ferndale,
Blue Lake,
Maricopa,
Bradbury,
Tulelake,
Plymouth,
Dorris,
Fort Jones,
Isleton,
Loyalton,
Etna,
Point Arena,
Tehama,
Trinidad,
Sand City,
Industry,
Amador City,
Vernon,
